count,unique,top,freq,first,last
455107,452469,2018-11-23 09:21:51+00:00,3,2017-01-01 00:15:16+00:00,2018-12-31 23:25:58+00:00
455107,231580,2018-07-20 05:36:03+00:00,28,2017-01-26 22:52:34+00:00,2019-03-21 20:14:16+00:00
453898,2838,2018-11-30 08:00:00+00:00,3126,2016-11-30 08:00:00+00:00,2019-03-19 07:00:00+00:00
428365,342359,2017-06-24 21:16:55+00:00,31,2017-01-01 19:30:51+00:00,2019-02-27 05:40:46+00:00
455107,398731,2017-04-30 06:14:30+00:00,6,2017-01-31 00:00:02+00:00,2019-01-31 23:25:58+00:00
