antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'additional'}),frozenset({'buy'}),0.039980842402149906,0.5734667269776229,0.018902163212090574,0.47278051377612146,0.8244253616384088,-0.004025519622078495,0.8090241050787981
frozenset({'buy'}),frozenset({'additional'}),0.5734667269776229,0.039980842402149906,0.018902163212090574,0.03296122045600067,0.8244253616384088,-0.004025519622078495,0.9927411163909483
frozenset({'additional'}),frozenset({'purchase'}),0.039980842402149906,0.21457041747598649,0.017704813346459836,0.4428324237987489,2.063809303294608,0.009126107301188909,1.4096828603685891
frozenset({'purchase'}),frozenset({'additional'}),0.21457041747598649,0.039980842402149906,0.017704813346459836,0.08251283450311253,2.063809303294608,0.009126107301188909,1.0463570431286942
frozenset({'additional'}),frozenset({'stock'}),0.039980842402149906,0.06589149349439906,0.011409413830721337,0.28537202182883004,4.330938740265272,0.008775016413679483,1.307125574478782
frozenset({'stock'}),frozenset({'additional'}),0.06589149349439906,0.039980842402149906,0.011409413830721337,0.1731545792279115,4.330938740265272,0.008775016413679483,1.1610624349850145
frozenset({'additional'}),frozenset({'sell'}),0.039980842402149906,0.15751802676742144,0.014139371524359418,0.3536536669772395,2.245163136149593,0.007841668120673512,1.3034528552093003
frozenset({'sell'}),frozenset({'additional'}),0.15751802676742144,0.039980842402149906,0.014139371524359418,0.08976351351351351,2.245163136149593,0.007841668120673512,1.0546920188878879
frozenset({'buy'}),frozenset({'income'}),0.5734667269776229,0.030662799670063592,0.021147859404518,0.03687722130972597,1.2026697400932238,0.0035637640377560974,1.0064523670057033
frozenset({'income'}),frozenset({'buy'}),0.030662799670063592,0.5734667269776229,0.021147859404518,0.6896910794862895,1.2026697400932238,0.0035637640377560974,1.374544026373007
frozenset({'increase'}),frozenset({'income'}),0.05857967698161403,0.030662799670063592,0.013000558763270628,0.2219295058139535,7.23774437435423,0.011204341863246361,1.2458218215098587
frozenset({'income'}),frozenset({'increase'}),0.030662799670063592,0.05857967698161403,0.013000558763270628,0.42398472752516486,7.237744374354229,0.011204341863246361,1.6343669482470444
frozenset({'family'}),frozenset({'buy'}),0.07040417209908735,0.5734667269776229,0.03239762658648857,0.4601662887377173,0.8024289241033392,-0.00797682355274433,0.7901197426611662
frozenset({'buy'}),frozenset({'family'}),0.5734667269776229,0.07040417209908735,0.03239762658648857,0.056494344069857,0.8024289241033392,-0.00797682355274433,0.9852572923736026
frozenset({'business'}),frozenset({'buy'}),0.1267966899928159,0.5734667269776229,0.06841391054466114,0.539555965921014,0.9408670818003149,-0.0042997722571153085,0.9263520459670201
frozenset({'buy'}),frozenset({'business'}),0.5734667269776229,0.1267966899928159,0.06841391054466114,0.11929883169547988,0.9408670818003148,-0.0042997722571153085,0.9914864898933079
frozenset({'business'}),frozenset({'purchase'}),0.1267966899928159,0.21457041747598649,0.03585131575446345,0.282746464095354,1.3177327397752645,0.008644497048131704,1.0950515308835382
frozenset({'purchase'}),frozenset({'business'}),0.21457041747598649,0.1267966899928159,0.03585131575446345,0.16708414969866817,1.3177327397752645,0.008644497048131704,1.048369183623144
frozenset({'buy'}),frozenset({'make'}),0.5734667269776229,0.041540058004949046,0.02752840379959024,0.04800348913820142,1.1555951398161823,0.003706562697031509,1.00678934330064
frozenset({'make'}),frozenset({'buy'}),0.041540058004949046,0.5734667269776229,0.02752840379959024,0.6626953625416346,1.1555951398161823,0.003706562697031509,1.264534268595775
frozenset({'sell'}),frozenset({'make'}),0.15751802676742144,0.041540058004949046,0.011106085198094884,0.07050675675675676,1.6973196510307387,0.004562777229351081,1.031163969143805
frozenset({'make'}),frozenset({'sell'}),0.041540058004949046,0.15751802676742144,0.011106085198094884,0.26735844222393035,1.697319651030739,0.004562777229351081,1.1499238123891429
frozenset({'material'}),frozenset({'buy'}),0.05847856743740521,0.5734667269776229,0.03715509671926137,0.6353626353626354,1.1079328677205498,0.0036195840525924047,1.1697464779742706
frozenset({'buy'}),frozenset({'material'}),0.5734667269776229,0.05847856743740521,0.03715509671926137,0.06479032692111393,1.10793286772055,0.0036195840525924047,1.0067490314369067
frozenset({'material'}),frozenset({'purchase'}),0.05847856743740521,0.21457041747598649,0.017263124284916054,0.2952042952042952,1.3757921463583525,0.004715353656474389,1.114407447689656
frozenset({'purchase'}),frozenset({'material'}),0.21457041747598649,0.05847856743740521,0.017263124284916054,0.08045435381066939,1.3757921463583527,0.004715353656474389,1.0238985269130831
frozenset({'material'}),frozenset({'business'}),0.05847856743740521,0.1267966899928159,0.014889710773488014,0.2546182546182546,2.008082818507966,0.007474821986903367,1.1714846995078678
frozenset({'business'}),frozenset({'material'}),0.1267966899928159,0.05847856743740521,0.014889710773488014,0.11742980652201285,2.0080828185079667,0.007474821986903367,1.0667949580897307
frozenset({'clothes'}),frozenset({'buy'}),0.025266742942287736,0.5734667269776229,0.016209456403161005,0.6415332771693345,1.1186931115436234,0.001719820026662303,1.1898824796182412
frozenset({'buy'}),frozenset({'clothes'}),0.5734667269776229,0.025266742942287736,0.016209456403161005,0.028265731280680752,1.1186931115436234,0.001719820026662303,1.0030862226793191
frozenset({'fertilizer'}),frozenset({'buy'}),0.08979059681238857,0.5734667269776229,0.05722800202219088,0.6373496118058437,1.1113977181638885,0.005736082354823029,1.1761555672015966
frozenset({'buy'}),frozenset({'fertilizer'}),0.5734667269776229,0.08979059681238857,0.05722800202219088,0.09979306440986237,1.1113977181638883,0.005736082354823029,1.01111129808272
frozenset({'fertilizer'}),frozenset({'purchase'}),0.08979059681238857,0.21457041747598649,0.025080488518745177,0.279321993717774,1.3017730822518168,0.0058140826752929795,1.0898481370006317
frozenset({'purchase'}),frozenset({'fertilizer'}),0.21457041747598649,0.08979059681238857,0.025080488518745177,0.1168869819696932,1.3017730822518165,0.0058140826752929795,1.0306828057157853
frozenset({'etc'}),frozenset({'buy'}),0.04081100497565389,0.5734667269776229,0.02415453795599074,0.5918633459381927,1.0320796623328552,0.0007507845079350213,1.0450746552104184
frozenset({'buy'}),frozenset({'etc'}),0.5734667269776229,0.04081100497565389,0.02415453795599074,0.04212020823473734,1.0320796623328552,0.0007507845079350213,1.001366771979468
frozenset({'etc'}),frozenset({'purchase'}),0.04081100497565389,0.21457041747598649,0.013053774312854215,0.31985917329508406,1.4906955817004965,0.004296939937613599,1.154804345931108
frozenset({'purchase'}),frozenset({'etc'}),0.21457041747598649,0.04081100497565389,0.013053774312854215,0.060836784801964236,1.4906955817004965,0.004296939937613599,1.0213230027563287
frozenset({'etc'}),frozenset({'sell'}),0.04081100497565389,0.15751802676742144,0.013575286698773382,0.33263789281523015,2.1117449198774993,0.007146817724612963,1.2624060673545614
frozenset({'sell'}),frozenset({'etc'}),0.15751802676742144,0.04081100497565389,0.013575286698773382,0.08618243243243244,2.1117449198774993,0.007146817724612963,1.0496504215579372
frozenset({'like'}),frozenset({'etc'}),0.04729265891493494,0.04081100497565389,0.012484367932309821,0.2639810959828964,6.468380186677007,0.01055430699402051,1.303212444394032
frozenset({'etc'}),frozenset({'like'}),0.04081100497565389,0.04729265891493494,0.012484367932309821,0.3059068979006389,6.468380186677007,0.01055430699402051,1.3725930112307654
frozenset({'thread'}),frozenset({'buy'}),0.027049463853337945,0.5734667269776229,0.018221004177420643,0.6736179421601417,1.1746417193380196,0.002709036674947412,1.3068526984766384
frozenset({'buy'}),frozenset({'thread'}),0.5734667269776229,0.027049463853337945,0.018221004177420643,0.0317734287278565,1.1746417193380196,0.002709036674947412,1.004878987020891
frozenset({'thread'}),frozenset({'material'}),0.027049463853337945,0.05847856743740521,0.012159753079849933,0.44953767460161326,7.687221050392406,0.010577939183756855,1.7104193858883738
frozenset({'material'}),frozenset({'thread'}),0.05847856743740521,0.027049463853337945,0.012159753079849933,0.20793520793520795,7.687221050392407,0.010577939183756855,1.228372408285348
frozenset({'milk'}),frozenset({'buy'}),0.021770481334645982,0.5734667269776229,0.013250671846313494,0.6086531410413103,1.0613573768248639,0.0007660251706066296,1.0899110680415647
frozenset({'buy'}),frozenset({'milk'}),0.5734667269776229,0.021770481334645982,0.013250671846313494,0.023106260961554523,1.061357376824864,0.0007660251706066296,1.0013673745398588
frozenset({'purchase'}),frozenset({'increase'}),0.21457041747598649,0.05857967698161403,0.01568794401724184,0.07311326604002877,1.2480995083495645,0.00311847827168848,1.0156800054698403
frozenset({'increase'}),frozenset({'purchase'}),0.05857967698161403,0.21457041747598649,0.01568794401724184,0.26780523255813954,1.2480995083495645,0.00311847827168848,1.0727058119633177
frozenset({'buy'}),frozenset({'increase'}),0.5734667269776229,0.05857967698161403,0.03122156294069127,0.05444354741423308,0.929393097051745,-0.0023719326853613235,0.9956257190609085
frozenset({'increase'}),frozenset({'buy'}),0.05857967698161403,0.5734667269776229,0.03122156294069127,0.5329760174418604,0.9293930970517449,-0.0023719326853613235,0.9133005775978071
frozenset({'business'}),frozenset({'increase'}),0.1267966899928159,0.05857967698161403,0.013192134741771546,0.10404163344105427,1.7760704531318778,0.005764425599654539,1.0507411484241655
frozenset({'increase'}),frozenset({'business'}),0.05857967698161403,0.1267966899928159,0.013192134741771546,0.2251998546511628,1.776070453131878,0.005764425599654539,1.127004576920985
